Campaign_ID,Region,Platform,Campaign_Category,Campaign_Type,Impressions,Clicks,Total_Engagements,Campaign_Ad_Spend
CMP_00060,Europe,Instagram,Paid Social Media,Product Highlight (Carousel),391,8,20,5.46
CMP_00061,APAC,SMS,SMS,Back-in-Stock Alert,597,59,0,0.83
CMP_00062,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1563,86,0,532.44
CMP_00063,Europe,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),351,12,23,14.93
CMP_00064,Europe,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),678,15,46,9.1
CMP_00065,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",974,89,0,618.37
CMP_00066,Europe,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1125,77,0,282.23
CMP_00067,APAC,Instagram,Paid Social Media,Influencer/KOL (Celebrity),252,7,8,8.57
CMP_00068,Europe,TikTok,Paid Social Media,Brand Awareness (Behind the scenes),319,9,18,6.06
CMP_00069,Europe,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",891,86,0,458.1
CMP_00070,APAC,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),192,5,14,6.2
CMP_00071,North America,SMS,SMS,Flash Sale / Price Drop Alert,966,53,0,0.53
CMP_00072,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1173,95,0,365.64
CMP_00073,APAC,Email,Email,Welcome Series,735,52,0,0.36
CMP_00074,APAC,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",1054,82,0,639.57
CMP_00075,Europe,Email,Email,Cart Abandonment Flow,1646,64,0,0.38
CMP_00076,Europe,Email,Email,Newsletter / Brand Story,888,45,0,0.27
CMP_00077,APAC,Email,Email,Cart Abandonment Flow,574,44,0,0.31
CMP_00078,North America,Instagram,Paid Social Media,Product Highlight (Carousel),299,9,10,12.62
CMP_00079,Europe,Email,Email,Cart Abandonment Flow,976,73,0,0.43
CMP_00080,APAC,Google Ads,Paid Search,Competitor Conquesting,2176,99,0,501.4
CMP_00081,North America,SMS,SMS,Cart Abandonment Alert,488,46,0,0.46
CMP_00082,APAC,Bing Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1070,86,0,618.05
CMP_00083,North America,Email,Email,Welcome Series,968,53,0,0.27
CMP_00084,APAC,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),244,8,17,6.91
CMP_00085,APAC,Email,Email,VIP Early Access / Private Sale,1369,48,0,0.34
CMP_00086,APAC,X,Paid Social Media,Brand Awareness (Conversation Driven),254,8,16,6.51
CMP_00087,APAC,SMS,SMS,Cart Abandonment Alert,671,51,0,0.71
CMP_00088,North America,SMS,SMS,VIP Event Invitation,593,61,0,0.61
CMP_00089,APAC,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",1292,95,0,529.98
CMP_00090,North America,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1991,81,0,335.37
CMP_00091,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1038,82,0,586.76
CMP_00092,Europe,SMS,SMS,Cart Abandonment Alert,757,53,0,0.63
CMP_00093,North America,Google Ads,Paid Search,Competitor Conquesting,2258,92,0,542.3
CMP_00094,APAC,SMS,SMS,Cart Abandonment Alert,426,51,0,0.71
CMP_00095,APAC,TikTok,Paid Social Media,Brand Awareness (Behind the scenes),549,14,50,23.44
CMP_00096,APAC,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),211,7,6,7.65
CMP_00097,North America,SMS,SMS,Cart Abandonment Alert,481,45,0,0.45
CMP_00098,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1503,92,0,585.11
CMP_00099,APAC,SMS,SMS,VIP Event Invitation,576,57,0,0.8
CMP_00100,Europe,Instagram,Paid Social Media,Product Highlight (Carousel),313,9,11,14.98
CMP_00101,North America,SMS,SMS,Back-in-Stock Alert,602,56,0,0.56
CMP_00102,APAC,SMS,SMS,Back-in-Stock Alert,752,40,0,0.56
CMP_00103,APAC,Instagram,Paid Social Media,Product Highlight (Carousel),402,14,15,21.44
CMP_00104,APAC,SMS,SMS,Back-in-Stock Alert,598,65,0,0.91
CMP_00105,Europe,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),682,11,49,17.04
CMP_00106,North America,SMS,SMS,Cart Abandonment Alert,626,65,0,0.65
CMP_00107,North America,Email,Email,Cart Abandonment Flow,837,44,0,0.22
CMP_00108,APAC,SMS,SMS,Cart Abandonment Alert,681,45,0,0.63
CMP_00109,Europe,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),463,8,29,9.63
CMP_00110,North America,TikTok,Paid Social Media,Brand Awareness (Behind the scenes),345,9,30,12.39
CMP_00111,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1019,87,0,568.94
CMP_00112,Europe,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",2275,93,0,409.01
CMP_00113,Europe,Instagram,Paid Social Media,Influencer/KOL (Celebrity),362,12,17,14.36
CMP_00114,North America,Instagram,Paid Social Media,Influencer/KOL (Celebrity),217,7,16,4.53
CMP_00115,North America,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),454,11,35,10.92
CMP_00116,APAC,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),544,9,19,7.91
CMP_00117,APAC,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",1590,81,0,420.7
CMP_00118,North America,Instagram,Paid Social Media,Product Highlight (Carousel),487,9,19,4.87
CMP_00119,APAC,Bing Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",2294,104,0,425.48
CMP_00120,Europe,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1210,85,0,493.11
CMP_00121,APAC,Email,Email,VIP Early Access / Private Sale,1906,65,0,0.45
CMP_00122,North America,SMS,SMS,Flash Sale / Price Drop Alert,893,62,0,0.62
CMP_00123,North America,X,Paid Social Media,Brand Awareness (Conversation Driven),364,7,17,6.89
CMP_00124,Europe,Instagram,Paid Social Media,Influencer/KOL (Celebrity),233,7,7,6.22
CMP_00125,Europe,SMS,SMS,Cart Abandonment Alert,687,60,0,0.71
CMP_00126,APAC,Instagram,Paid Social Media,Influencer/KOL (Celebrity),151,3,6,3.68
CMP_00127,APAC,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),510,11,18,21.41
CMP_00128,Europe,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),280,7,9,8.57
CMP_00129,Europe,X,Paid Social Media,Product Launch Announcement,398,7,17,7.13
CMP_00130,Europe,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),201,7,18,6.09
CMP_00131,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1450,72,0,317.82
CMP_00132,APAC,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",2097,94,0,570.59
CMP_00133,APAC,SMS,SMS,Flash Sale / Price Drop Alert,552,43,0,0.6
CMP_00134,North America,Email,Email,Newsletter / Brand Story,1235,53,0,0.27
CMP_00135,APAC,YouTube,Paid Social Media,Product Highlight (Detailed Review),267,7,15,7.64
CMP_00136,Europe,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1388,91,0,459.23
CMP_00137,APAC,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",1465,84,0,533.24
CMP_00138,APAC,Instagram,Paid Social Media,Influencer/KOL (Celebrity),935,15,43,13.32
CMP_00139,APAC,SMS,SMS,Cart Abandonment Alert,384,41,0,0.57
CMP_00140,APAC,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),260,7,13,8.94
CMP_00141,APAC,SMS,SMS,Back-in-Stock Alert,518,61,0,0.85
CMP_00142,APAC,X,Paid Social Media,Influencer/KOL Discussion,536,10,17,17.38
CMP_00143,Europe,Email,Email,Welcome Series,587,41,0,0.24
CMP_00144,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",945,84,0,567.8
CMP_00145,Europe,Instagram,Paid Social Media,Product Highlight (Carousel),262,6,18,6.65
CMP_00146,APAC,Instagram,Paid Social Media,Influencer/KOL (Celebrity),200,6,11,6.15
CMP_00147,North America,Instagram,Paid Social Media,Influencer/KOL (Celebrity),362,12,22,7.4
CMP_00148,North America,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),449,8,31,8.96
CMP_00149,Europe,SMS,SMS,Back-in-Stock Alert,610,37,0,0.44
CMP_00150,APAC,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",2285,96,0,604.08
CMP_00151,Europe,SMS,SMS,Cart Abandonment Alert,390,42,0,0.5
CMP_00152,APAC,Email,Email,Welcome Series,922,46,0,0.32
CMP_00153,North America,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",887,74,0,371.49
CMP_00154,Europe,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),549,11,25,8.85
CMP_00155,North America,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),618,15,71,9.8
CMP_00156,Europe,TikTok,Paid Social Media,Product Highlight (Short-form),455,7,50,11.83
CMP_00157,Europe,YouTube,Paid Social Media,Product Highlight (Detailed Review),548,16,20,20.32
CMP_00158,Europe,Instagram,Paid Social Media,Product Highlight (Carousel),296,10,22,11.22
CMP_00159,APAC,SMS,SMS,Back-in-Stock Alert,936,55,0,0.77
CMP_00160,North America,Email,Email,Cart Abandonment Flow,940,56,0,0.28
CMP_00161,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",839,74,0,260.68
CMP_00162,APAC,Instagram,Paid Social Media,Influencer/KOL (Celebrity),239,8,11,9.49
CMP_00163,Europe,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),374,9,13,7.18
CMP_00164,Europe,Instagram,Paid Social Media,Promo/Giveaway (Limited Drop),629,14,37,18.71
CMP_00165,APAC,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),262,9,9,11.52
CMP_00166,APAC,SMS,SMS,Cart Abandonment Alert,610,56,0,0.78
CMP_00167,APAC,X,Paid Social Media,Brand Awareness (Conversation Driven),242,8,9,7.74
CMP_00168,APAC,Instagram,Paid Social Media,Influencer/KOL (Celebrity),858,14,59,18.68
CMP_00169,Europe,Instagram,Paid Social Media,Influencer/KOL (Celebrity),496,13,18,10.46
CMP_00170,North America,SMS,SMS,Cart Abandonment Alert,884,61,0,0.61
CMP_00171,Europe,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),551,10,36,13.68
CMP_00172,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1020,82,0,294.92
CMP_00173,APAC,Email,Email,Welcome Series,925,58,0,0.41
CMP_00174,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",911,76,0,584.66
CMP_00175,North America,Instagram,Paid Social Media,Product Highlight (Carousel),575,11,25,15.36
CMP_00176,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",2236,93,0,408.18
CMP_00177,Europe,Instagram,Paid Social Media,Product Highlight (Carousel),223,7,10,6.27
CMP_00178,APAC,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),509,14,38,20.62
CMP_00179,APAC,Bing Ads,Paid Search,Competitor Conquesting,1060,91,0,380.98
CMP_00180,North America,Instagram,Paid Social Media,Product Highlight (Carousel),225,7,11,3.66
CMP_00181,APAC,TikTok,Paid Social Media,Product Highlight (Short-form),347,7,19,13.08
CMP_00182,North America,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),391,8,18,11.31
CMP_00183,APAC,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),421,11,39,20.48
CMP_00184,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",946,89,0,692.6
CMP_00185,Europe,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),432,8,32,8.67
CMP_00186,APAC,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),327,6,32,4.9
CMP_00187,Europe,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1395,80,0,353.51
CMP_00188,Europe,Bing Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1035,71,0,404.06
CMP_00189,North America,X,Paid Social Media,Brand Awareness (Conversation Driven),704,11,30,12.05
CMP_00190,APAC,Instagram,Paid Social Media,Influencer/KOL (Celebrity),368,8,25,6.79
CMP_00191,APAC,X,Paid Social Media,Product Launch Announcement,243,7,12,7.31
CMP_00192,North America,Email,Email,VIP Early Access / Private Sale,1123,49,0,0.24
CMP_00193,Europe,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),419,14,15,23.96
CMP_00194,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",909,84,0,595.38
CMP_00195,North America,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),281,9,11,8.9
CMP_00196,APAC,SMS,SMS,VIP Event Invitation,928,49,0,0.69
CMP_00197,Europe,SMS,SMS,Flash Sale / Price Drop Alert,456,41,0,0.48
CMP_00198,North America,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",1434,83,0,476.04
CMP_00199,North America,SMS,SMS,Cart Abandonment Alert,326,36,0,0.36
CMP_00200,North America,Instagram,Paid Social Media,Product Highlight (Carousel),190,3,11,2.19
CMP_00201,APAC,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",1639,99,0,698.08
CMP_00202,APAC,Instagram,Paid Social Media,Influencer/KOL (Celebrity),292,9,13,14.19
CMP_00203,North America,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),322,5,23,2.61
CMP_00204,North America,TikTok,Paid Social Media,Brand Awareness (Behind the scenes),419,13,50,11.06
CMP_00205,Europe,Instagram,Paid Social Media,Influencer/KOL (Celebrity),362,10,26,17.51
CMP_00206,Europe,Instagram,Paid Social Media,Influencer/KOL (Celebrity),201,6,8,4.32
CMP_00207,APAC,Bing Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1647,89,0,329.86
CMP_00208,APAC,SMS,SMS,Cart Abandonment Alert,533,41,0,0.57
CMP_00209,Europe,Google Ads,Paid Search,Competitor Conquesting,871,76,0,252.26
CMP_00210,APAC,SMS,SMS,VIP Event Invitation,676,56,0,0.78
CMP_00211,Europe,Google Ads,Paid Search,Competitor Conquesting,1706,92,0,629.6
CMP_00212,Europe,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),611,12,23,10.2
CMP_00213,APAC,Email,Email,Cart Abandonment Flow,1307,43,0,0.3
CMP_00214,North America,SMS,SMS,VIP Event Invitation,526,63,0,0.63
CMP_00215,APAC,Instagram,Paid Social Media,Product Highlight (Carousel),276,8,10,14.74
CMP_00216,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1084,82,0,520.08
CMP_00217,APAC,SMS,SMS,Flash Sale / Price Drop Alert,1015,60,0,0.84
CMP_00218,North America,SMS,SMS,Back-in-Stock Alert,468,50,0,0.5
CMP_00219,Europe,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),215,5,15,4.48
CMP_00220,Europe,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),257,5,16,3.4
CMP_00221,North America,Instagram,Paid Social Media,Influencer/KOL (Celebrity),260,7,18,5.93
CMP_00222,Europe,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),184,6,19,8.2
CMP_00223,North America,Email,Email,VIP Early Access / Private Sale,640,46,0,0.23
CMP_00224,Europe,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),166,5,6,8.15
CMP_00225,North America,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",1885,90,0,330.56
CMP_00226,Europe,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",1000,90,0,454.13
CMP_00227,APAC,Bing Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",687,68,0,448.52
CMP_00228,APAC,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),326,10,11,17.65
CMP_00229,Europe,SMS,SMS,Cart Abandonment Alert,487,46,0,0.54
CMP_00230,North America,Google Ads,Paid Search,Competitor Conquesting,1255,102,0,279.22
CMP_00231,APAC,X,Paid Social Media,Brand Awareness (Conversation Driven),525,14,24,21.97
CMP_00232,APAC,Email,Email,Newsletter / Brand Story,522,41,0,0.29
CMP_00233,Europe,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",2314,96,0,291.97
CMP_00234,APAC,Instagram,Paid Social Media,Product Highlight (Carousel),209,6,10,6.5
CMP_00235,North America,Instagram,Paid Social Media,Influencer/KOL (Celebrity),328,6,22,7.16
CMP_00236,APAC,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",946,75,0,362.92
CMP_00237,North America,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",900,87,0,345.31
CMP_00238,Europe,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),201,7,10,11.52
CMP_00239,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1049,83,0,440.38
CMP_00240,North America,Instagram,Paid Social Media,Promo/Giveaway (Limited Drop),534,10,39,12.77
CMP_00241,North America,Email,Email,VIP Early Access / Private Sale,978,60,0,0.3
CMP_00242,APAC,Google Ads,Paid Search,Competitor Conquesting,1272,98,0,725.5
CMP_00243,Europe,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1035,84,0,397.08
CMP_00244,APAC,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),450,12,19,21.8
CMP_00245,APAC,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),486,8,24,10.98
CMP_00246,Europe,Bing Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",873,80,0,493.66
CMP_00247,APAC,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),604,12,47,10.79
CMP_00248,Europe,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),381,10,11,9.75
CMP_00249,Europe,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",2048,86,0,281.61
CMP_00250,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",848,69,0,512.18
CMP_00251,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1035,81,0,563.9
CMP_00252,APAC,SMS,SMS,Flash Sale / Price Drop Alert,455,40,0,0.56
CMP_00253,Europe,Email,Email,VIP Early Access / Private Sale,870,61,0,0.36
CMP_00254,APAC,Email,Email,Welcome Series,668,50,0,0.35
CMP_00255,Europe,Email,Email,Cart Abandonment Flow,948,59,0,0.35
CMP_00256,Europe,X,Paid Social Media,Brand Awareness (Conversation Driven),555,9,23,7.0
CMP_00257,North America,Google Ads,Paid Search,Competitor Conquesting,1328,80,0,250.99
CMP_00258,North America,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),344,9,22,6.56
CMP_00259,North America,SMS,SMS,Cart Abandonment Alert,687,44,0,0.44
CMP_00260,Europe,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1694,94,0,456.9
CMP_00261,North America,X,Paid Social Media,Product Launch Announcement,340,8,16,6.97
CMP_00262,North America,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",1258,94,0,379.3
CMP_00263,Europe,Instagram,Paid Social Media,Product Highlight (Carousel),212,7,10,6.42
CMP_00264,Europe,SMS,SMS,Flash Sale / Price Drop Alert,555,52,0,0.61
CMP_00265,Europe,X,Paid Social Media,Brand Awareness (Conversation Driven),272,8,20,6.42
CMP_00266,APAC,SMS,SMS,Flash Sale / Price Drop Alert,491,54,0,0.76
CMP_00267,Europe,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",1064,71,0,360.41
CMP_00268,APAC,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),262,6,30,6.37
CMP_00269,Europe,Instagram,Paid Social Media,Product Highlight (Carousel),851,15,66,16.88
CMP_00270,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",969,69,0,355.44
CMP_00271,North America,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),512,14,33,9.34
CMP_00272,APAC,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",1077,86,0,501.01
CMP_00273,North America,Email,Email,VIP Early Access / Private Sale,790,58,0,0.29
CMP_00274,APAC,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1634,71,0,433.29
CMP_00275,North America,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",1057,71,0,409.57
CMP_00276,APAC,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),222,4,26,8.2
CMP_00277,APAC,SMS,SMS,Cart Abandonment Alert,415,46,0,0.64
CMP_00278,APAC,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),317,9,17,6.68
CMP_00279,APAC,X,Paid Social Media,Brand Awareness (Conversation Driven),245,7,19,5.82
CMP_00280,Europe,Instagram,Paid Social Media,Product Highlight (Carousel),377,7,24,11.05
CMP_00281,North America,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),328,9,24,9.64
CMP_00282,APAC,SMS,SMS,Cart Abandonment Alert,575,56,0,0.78
CMP_00283,APAC,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),214,6,7,9.73
CMP_00284,North America,Google Ads,Paid Search,Competitor Conquesting,1335,86,0,477.1
CMP_00285,North America,TikTok,Paid Social Media,Product Highlight (Short-form),276,9,20,7.44
CMP_00286,Europe,Email,Email,VIP Early Access / Private Sale,715,50,0,0.29
CMP_00287,APAC,Email,Email,Welcome Series,751,43,0,0.3
