Region,Traffic_Source,Platform,Campaign_Category,Campaign_Type,Website_Sessions,Bounces,Add_To_Cart_Events,Transactions,Total_Revenue,Returning_Transactions,New_Customer_Transactions,Campaign_Ad_Spend,Impressions,Clicks,Total_Engagements,Allocated_New_Customers,Allocated_Returning_Customers,Allocated_Total_Marketing_Spend,Historical_Ecom_Lifetime_Value,Historical_AOV,CTR (%),ER (%),Bounce_Rate (%),Conversion_Rate (%),Cart_Abandonment_Rate (%),AOV ($),Returning_Customer_Ratio (%),CAC ($),Campaign_CAC ($),Campaign_ROI (%),CLV ($)
Europe,Paid Search,Google Ads,Paid Search,Competitor Conquesting,15961,6721,13,2,1019.05,0,2,75923.3,230723.0,15152.0,0.0,111.18,0.0,703763.75,106.74,97.06,6.57,,42.11,0.01,84.62,509.52,0.0,6330.08,37961.65,-98.66,106.74
Europe,Paid Search,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",45997,19430,765,142,68504.23,36,106,250893.37,766935.0,50049.0,0.0,303.94,115.94,1718888.1,1906.81,376.98,6.53,,42.24,0.31,81.44,482.42,25.35,5655.31,2366.92,-72.7,1906.81
Europe,Paid Social Media,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),4010,2262,490,0,0.0,0,0,4754.28,164935.0,3972.0,8702.0,15.66,24.27,104727.81,3276.88,585.78,2.41,5.28,56.41,0.0,100.0,,,6689.45,,-100.0,3276.88
Europe,Paid Social Media,Instagram,Paid Social Media,Influencer/KOL (Celebrity),4734,2626,550,92,43072.06,20,72,5660.69,201577.0,4821.0,11141.0,46.85,14.61,201427.56,1832.6,380.11,2.39,5.53,55.47,1.94,83.27,468.17,21.74,4299.69,78.62,660.9,1832.6
Europe,Paid Social Media,Instagram,Paid Social Media,Product Highlight (Carousel),3615,1970,448,67,31376.74,30,37,4118.36,143408.0,3447.0,7558.0,22.51,27.54,93753.67,3299.18,606.69,2.4,5.27,54.5,1.85,85.04,468.31,44.78,4165.5,111.31,661.87,3299.18
Europe,Paid Social Media,Instagram,Paid Social Media,Promo/Giveaway (Limited Drop),1370,766,165,25,11521.95,14,11,1682.69,60264.0,1423.0,3191.0,4.88,16.13,17011.84,4211.71,728.68,2.36,5.3,55.91,1.82,84.85,460.88,56.0,3488.19,152.97,584.73,4211.71
Europe,Paid Social Media,TikTok,Paid Social Media,Brand Awareness (Behind the scenes),1401,772,171,0,0.0,0,0,1678.23,61798.0,1464.0,4899.0,4.58,8.07,32043.96,3390.39,601.04,2.37,7.93,55.1,0.0,100.0,,,6996.86,,-100.0,3390.39
Europe,Paid Social Media,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),3431,1889,38,4,1672.16,0,4,3860.78,139882.0,3286.0,11034.0,25.96,0.0,158514.45,111.95,97.52,2.35,7.89,55.06,0.12,89.47,418.04,0.0,6106.29,965.2,-56.69,111.95
Europe,Paid Social Media,TikTok,Paid Social Media,Product Highlight (Short-form),2059,1125,264,56,26100.61,11,45,2448.12,84956.0,2068.0,7098.0,20.06,6.07,88846.43,1751.81,352.71,2.43,8.35,54.64,2.72,78.79,466.08,19.64,4429.45,54.4,966.15,1751.81
Europe,Paid Social Media,X,Paid Social Media,Brand Awareness (Conversation Driven),1351,756,159,0,0.0,0,0,1518.83,56310.0,1318.0,3026.0,6.2,8.37,31495.94,3411.1,603.56,2.34,5.37,55.96,0.0,100.0,,,5080.31,,-100.0,3411.1
Europe,Paid Social Media,X,Paid Social Media,Influencer/KOL Discussion,657,334,91,0,0.0,0,0,757.06,28354.0,632.0,1457.0,3.16,4.14,22833.93,3081.68,525.7,2.23,5.14,50.84,0.0,100.0,,,7221.58,,-100.0,3081.68
Europe,Paid Social Media,X,Paid Social Media,Product Launch Announcement,1418,804,174,32,15154.1,22,10,1676.33,60538.0,1400.0,3255.0,9.19,10.76,40645.06,3151.01,561.31,2.31,5.38,56.7,2.26,81.61,473.57,68.75,4422.8,167.63,804.0,3151.01
Europe,Paid Social Media,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),3379,1857,412,0,0.0,0,0,4132.86,148609.0,3526.0,7942.0,12.97,20.99,89571.44,3347.63,605.4,2.37,5.34,54.96,0.0,100.0,,,6906.74,,-100.0,3347.63
Europe,Paid Social Media,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),2197,1183,244,36,16920.21,10,26,2273.21,80215.0,1940.0,4248.0,20.41,6.32,87308.46,1919.65,383.63,2.42,5.3,53.85,1.64,85.25,470.01,27.78,4278.14,87.43,644.33,1919.65
Europe,Paid Social Media,YouTube,Paid Social Media,Product Highlight (Detailed Review),1287,729,152,30,13964.64,15,15,1428.76,54991.0,1274.0,2953.0,10.75,8.9,36576.95,3280.41,607.48,2.32,5.37,56.64,2.33,80.26,465.49,50.0,3401.16,95.25,877.4,3280.41
Europe,SMS,SMS,SMS,Back-in-Stock Alert,9407,3994,2192,374,197786.9,374,0,119.29,127352.0,10112.0,0.0,0.0,149.79,11470.76,4649.77,791.19,7.94,,42.46,3.98,82.94,528.84,100.0,,,165703.42,4649.77
Europe,SMS,SMS,SMS,Cart Abandonment Alert,18191,7669,4389,739,396089.1,397,342,216.98,229243.0,18377.0,0.0,152.3,145.56,560563.03,3229.53,589.63,8.02,,42.16,4.06,83.16,535.98,53.72,3680.68,0.63,182446.36,3229.53
Europe,SMS,SMS,SMS,Flash Sale / Price Drop Alert,13993,5943,1738,303,161313.93,303,0,187.37,202373.0,15868.0,0.0,0.0,200.97,16901.89,4627.53,797.88,7.84,,42.47,2.17,82.57,532.39,100.0,,,85993.79,4627.53
Europe,SMS,SMS,SMS,VIP Event Invitation,4408,1825,575,106,55251.58,106,0,61.75,65263.0,5233.0,0.0,0.0,60.88,5284.18,4647.13,801.44,8.02,,41.4,2.4,81.57,521.24,100.0,,,89376.24,4647.13
North America,Direct,None,None,None,402454,140980,29189,4871,2635604.11,3535,1336,0.0,0.0,0.0,0.0,1237.95,3727.9,6344426.34,3967.22,695.86,,,35.03,1.21,83.31,541.08,72.57,5124.93,0.0,,3967.22
North America,Email,Email,Email,Cart Abandonment Flow,12129,5133,2050,368,193023.16,219,149,65.45,254648.0,13035.0,0.0,81.06,91.72,353144.93,3232.71,583.87,5.12,,42.32,3.03,82.05,524.52,59.51,4356.4,0.44,294816.97,3232.71
North America,Email,Email,Email,Newsletter / Brand Story,7016,2934,671,108,55628.71,108,0,38.74,145641.0,7731.0,0.0,0.0,98.13,8549.2,4608.47,784.28,5.31,,41.82,1.54,83.9,515.08,100.0,,,143495.02,4608.47
North America,Email,Email,Email,VIP Early Access / Private Sale,8540,3557,790,147,78003.71,147,0,47.82,188956.0,9515.0,0.0,0.0,116.52,10192.79,4645.64,797.84,5.04,,41.65,1.72,81.39,530.64,100.0,,,163019.43,4645.64
North America,Email,Email,Email,Welcome Series,6931,2938,520,75,38866.51,0,75,35.32,134539.0,7035.0,0.0,68.98,0.0,342431.4,122.69,111.98,5.23,,42.39,1.08,85.58,518.22,0.0,4964.12,0.47,109941.08,122.69
North America,Organic Search,None,None,None,516893,180822,31387,5201,2624175.71,2314,2887,0.0,0.0,0.0,0.0,2996.06,2718.83,15417226.27,2942.15,540.5,,,34.98,1.01,83.43,504.55,44.49,5145.84,0.0,,2942.15
North America,Paid Search,Bing Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",13827,5934,579,87,43120.83,73,14,64774.5,236903.0,15333.0,0.0,24.72,141.21,140438.09,4240.68,740.78,6.47,,42.92,0.63,84.97,495.64,83.91,5680.24,4626.75,-33.43,4240.68
North America,Paid Search,Bing Ads,Paid Search,Competitor Conquesting,2130,873,38,0,0.0,0,0,7562.26,26699.0,1858.0,0.0,9.63,11.97,48591.43,3336.08,596.65,6.96,,40.99,0.0,100.0,,,5046.94,,-100.0,3336.08
North America,Paid Search,Bing Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",7246,3108,109,18,8760.26,0,18,35254.87,130338.0,8438.0,0.0,60.79,0.0,341752.14,111.67,101.36,6.47,,42.89,0.25,83.49,486.68,0.0,5621.59,1958.6,-75.15,111.67
North America,Paid Search,Google Ads,Paid Search,"Brand Keywords (Prada, Miu Miu)",69137,28866,2900,485,236516.86,393,92,309865.58,1122126.0,72288.0,0.0,129.16,697.38,722746.33,4224.53,733.98,6.44,,41.75,0.7,83.28,487.66,81.03,5595.55,3368.1,-23.67,4224.53
North America,Paid Search,Google Ads,Paid Search,Competitor Conquesting,11622,4933,8,2,1054.64,0,2,52485.74,187968.0,12076.0,0.0,89.38,0.0,530465.15,104.03,97.42,6.42,,42.45,0.02,75.0,527.32,0.0,5934.65,26242.87,-97.99,104.03
North America,Paid Search,Google Ads,Paid Search,"Generic Luxury Keywords (Designer bag, luxury shoes)",33829,14182,495,89,44513.97,29,60,147573.32,542327.0,34972.0,0.0,218.65,84.72,1254068.4,1890.39,376.8,6.45,,41.92,0.26,82.02,500.16,32.58,5735.62,2459.56,-69.84,1890.39
North America,Paid Social Media,Instagram,Paid Social Media,Brand Awareness (Editorial/Runway),2979,1659,331,0,0.0,0,0,3025.22,129714.0,3044.0,7065.0,13.66,18.37,76114.24,3306.66,594.82,2.35,5.45,55.69,0.0,100.0,,,5572.57,,-100.0,3306.66
North America,Paid Social Media,Instagram,Paid Social Media,Influencer/KOL (Celebrity),3532,1914,396,54,26304.69,8,46,3726.18,155261.0,3676.0,8166.0,35.1,8.11,152376.58,1694.16,361.97,2.37,5.26,54.19,1.53,86.36,487.12,14.81,4340.84,81.0,605.94,1694.16
North America,Paid Social Media,Instagram,Paid Social Media,Product Highlight (Carousel),2670,1432,310,60,28571.51,34,26,2702.3,117124.0,2789.0,6185.0,15.31,21.1,72390.94,3292.65,591.57,2.38,5.28,53.63,2.25,80.65,476.19,56.67,4729.59,103.93,957.3,3292.65
North America,Paid Social Media,Instagram,Paid Social Media,Promo/Giveaway (Limited Drop),1070,594,140,26,12930.06,15,11,926.49,41892.0,976.0,2174.0,3.89,12.43,15963.13,4130.36,703.7,2.33,5.19,55.51,2.43,81.43,497.31,57.69,4098.95,84.23,1295.6,4130.36
North America,Paid Social Media,TikTok,Paid Social Media,Brand Awareness (Behind the scenes),1011,563,114,0,0.0,0,0,1066.81,45594.0,1106.0,3643.0,3.57,6.94,24505.92,3421.34,597.58,2.43,7.99,55.69,0.0,100.0,,,6869.92,,-100.0,3421.34
North America,Paid Social Media,TikTok,Paid Social Media,Influencer/KOL (Viral/Trend),2501,1380,26,4,2131.39,0,4,2513.89,105501.0,2545.0,8728.0,21.13,0.0,116214.26,119.98,110.15,2.41,8.27,55.18,0.16,84.62,532.85,0.0,5500.0,628.47,-15.22,119.98
North America,Paid Social Media,TikTok,Paid Social Media,Product Highlight (Short-form),1606,839,177,25,11779.77,9,16,1577.12,65565.0,1573.0,5363.0,16.2,4.44,65829.18,1769.7,371.73,2.4,8.18,52.24,1.56,85.88,471.19,36.0,4063.69,98.57,646.92,1769.7
North America,Paid Social Media,X,Paid Social Media,Brand Awareness (Conversation Driven),1078,588,145,0,0.0,0,0,958.14,41251.0,987.0,2249.0,3.42,7.6,27571.63,3370.26,581.8,2.39,5.45,54.55,0.0,100.0,,,8051.25,,-100.0,3370.26
North America,Paid Social Media,X,Paid Social Media,Influencer/KOL Discussion,493,292,52,0,0.0,0,0,490.38,21133.0,489.0,1133.0,2.02,2.42,13108.59,3201.54,588.34,2.31,5.36,59.23,0.0,100.0,,,6505.13,,-100.0,3201.54
North America,Paid Social Media,X,Paid Social Media,Product Launch Announcement,1044,555,130,18,8850.96,10,8,1002.35,41696.0,969.0,2156.0,5.01,8.72,29287.09,3367.23,603.04,2.32,5.17,53.16,1.72,86.15,491.72,55.56,5848.59,125.29,783.02,3367.23
North America,Paid Social Media,YouTube,Paid Social Media,Brand Awareness (Cinematic/Editorial),2463,1375,270,0,0.0,0,0,2549.12,106549.0,2576.0,5776.0,10.54,16.58,64945.62,3296.85,595.09,2.42,5.42,55.83,0.0,100.0,,,6160.81,,-100.0,3296.85
North America,Paid Social Media,YouTube,Paid Social Media,Influencer/KOL (Long-form/Vlog),1607,895,186,32,15122.74,7,25,1746.4,71460.0,1757.0,4063.0,15.93,3.9,70183.54,1840.92,385.36,2.46,5.69,55.69,1.99,82.8,472.59,21.88,4406.15,69.86,765.94,1840.92
North America,Paid Social Media,YouTube,Paid Social Media,Product Highlight (Detailed Review),909,509,90,9,4112.2,4,5,965.66,40159.0,964.0,1991.0,6.08,5.16,29548.12,3142.4,582.82,2.4,4.96,56.0,0.99,90.0,456.91,44.44,4860.65,193.13,325.84,3142.4
North America,SMS,SMS,SMS,Back-in-Stock Alert,7041,2959,1496,249,132553.75,249,0,72.89,92368.0,7289.0,0.0,0.0,109.6,8555.14,4644.53,796.91,7.89,,42.03,3.54,83.36,532.34,100.0,,,181754.51,4644.53
North America,SMS,SMS,SMS,Cart Abandonment Alert,13610,5787,2884,488,263175.51,275,213,144.01,177375.0,14401.0,0.0,98.83,104.33,414625.59,3206.81,584.55,8.12,,42.52,3.59,83.08,539.29,56.35,4195.48,0.68,182648.08,3206.81
North America,SMS,SMS,SMS,Flash Sale / Price Drop Alert,10610,4470,1229,201,108457.85,201,0,105.4,129005.0,10540.0,0.0,0.0,150.69,12732.86,4639.2,790.61,8.17,,42.13,1.89,83.65,539.59,100.0,,,102801.19,4639.2
North America,SMS,SMS,SMS,VIP Event Invitation,3254,1344,369,51,27178.09,51,0,31.97,37759.0,3197.0,0.0,0.0,44.82,3958.93,4641.99,795.85,8.47,,41.3,1.57,86.18,532.9,100.0,,,84911.23,4641.99
